ID,Name,Description,In stock?,Sale price,Regular price,Images,link
221,Lavender Conditioning Pomade,Health & Beauty Personal Care Hair Care,in stock,,8.95,"https://hairbeyondbold.com/wp-content/uploads/2019/10/finalL.png, https://hairbeyondbold.com/wp-content/uploads/2019/10/456x578.jpeg.jpg",https://hairbeyondbold.com/product/lavender-conditioning-pomade/
225,Cedar Wood Conditioning Pomade,Health & Beauty Personal Care Hair Care,in stock,,8.95,"https://hairbeyondbold.com/wp-content/uploads/2019/10/1699x1699.png.png, https://hairbeyondbold.com/wp-content/uploads/2019/10/455x411.jpeg.jpg",https://hairbeyondbold.com/product/cedar-wood-conditioning-pomade/
226,Beyond Bold's Original Conditioning Pomade,Health & Beauty Personal Care Hair Care,in stock,,8.95,"https://hairbeyondbold.com/wp-content/uploads/2019/10/Final-O.png, https://hairbeyondbold.com/wp-content/uploads/2019/10/500x333.jpeg.jpg",https://hairbeyondbold.com/product/beyond-bolds-original-conditioning-pomade/
227,Oil Applicator,Health & Beauty Personal Care Hair Care,in stock,,7.95,"https://hairbeyondbold.com/wp-content/uploads/2019/10/1886x1886.png.png, https://hairbeyondbold.com/wp-content/uploads/2019/10/544x340.jpeg.jpg",https://hairbeyondbold.com/product/oil-applicator/
255,Herbal Infused Hair Growth Oil,Health & Beauty Personal Care Hair Care,in stock,,14.95,"https://hairbeyondbold.com/wp-content/uploads/2019/10/1886x1886.png.c983043d80764834ab248490be07ed9e.png, https://hairbeyondbold.com/wp-content/uploads/2019/10/2501x2096.jpeg.jpg",https://hairbeyondbold.com/product/herbal-infused-hair-growth-oil/
2088,Beyond Bold Velvet Plush Black and Gold Drawstring Bags,Health & Beauty Personal Care Hair Care,in stock,0.75,1,https://hairbeyondbold.com/wp-content/uploads/2020/08/20191208_101102_HDR-scaled.jpg,https://hairbeyondbold.com/product/beyond-bold-velvet-plush-black-and-gold-drawstring-bags/
2090,Hair Brush/Comb Anti-Static Detangler,Health & Beauty Personal Care Hair Care,in stock,5.99,7.99,https://hairbeyondbold.com/wp-content/uploads/2020/08/one.png,https://hairbeyondbold.com/product/hair-brush-comb-anti-static-detangler/
