ID,title,Description,availability,Sale price,price,Images,link
221,Lavender Conditioning Pomade,Health & Beauty Personal Care Hair Care,in stock,, $8.95 ,https://drive.google.com/uc?export=download&id=1j7sUK6uO4e-V8QQuqugbLFqEL3-ch6aL,https://hairbeyondbold.com/product/lavender-conditioning-pomade/
225,Cedar Wood Conditioning Pomade,Health & Beauty Personal Care Hair Care,in stock,, $8.95 ,https://drive.google.com/uc?export=download&id=1WDkSYRzLgPZGZ3z1H3ZE0S9rhjVJAZMg,https://hairbeyondbold.com/product/cedar-wood-conditioning-pomade/
226,Beyond Bold's Original Conditioning Pomade,Health & Beauty Personal Care Hair Care,in stock,, $8.95 ,https://drive.google.com/uc?export=download&id=15vIHVmkIEr37ZOAFCTc-PCm_7uNmoR6r,https://hairbeyondbold.com/product/beyond-bolds-original-conditioning-pomade/
227,Oil Applicator,Health & Beauty Personal Care Hair Care,in stock,, $7.95 ,https://drive.google.com/uc?export=download&id=1DbNaDknh_d6Qi7110oQea9sUMj345n0g,https://hairbeyondbold.com/product/oil-applicator/
255,Herbal Infused Hair Growth Oil,Health & Beauty Personal Care Hair Care,in stock,, $14.95 ,https://drive.google.com/uc?export=download&id=1BaEej4vGhqzWSIKGSPSgOMMlXzwo3Tle,https://hairbeyondbold.com/product/herbal-infused-hair-growth-oil/
2088,Beyond Bold Velvet Plush Black and Gold Drawstring Bags,Health & Beauty Personal Care Hair Care,in stock,0.75, $1.00 ,https://drive.google.com/uc?export=download&id=1B6JXbo2--I_Lf4_IDrsWRJ9MpvgnCjaU,https://hairbeyondbold.com/product/beyond-bold-velvet-plush-black-and-gold-drawstring-bags/
2090,Hair Brush/Comb Anti-Static Detangler,Health & Beauty Personal Care Hair Care,in stock,5.99, $7.99 ,https://drive.google.com/uc?export=download&id=1pBx3x8cvzlBGjTZ11xmoC5-vdJX799rr,https://hairbeyondbold.com/product/hair-brush-comb-anti-static-detangler/
